#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
380,Eduardo Escobar,,99,401,12,43,46,2,6.90%,23.60%,0.16,0.281,0.234,0.29,0.394,0.295,84,-1.1,-8.8,-0.9,0.4
381,Orelvis Martinez,TOR,71,289,12,33,35,2,8.50%,26.00%,0.185,0.25,0.213,0.287,0.398,0.296,88,-0.4,-4.7,-1.3,0.4
382,Everson Pereira,NYY,84,334,10,36,38,6,7.20%,30.70%,0.159,0.314,0.234,0.296,0.392,0.299,90,-0.4,-4.3,-3.4,0.4
383,Rob Refsnyder,BOS,37,160,3,19,16,3,11.30%,23.40%,0.134,0.327,0.256,0.35,0.39,0.328,102,-0.3,0.1,-1.9,0.4
384,Addison Barger,TOR,40,164,4,19,18,2,8.90%,24.20%,0.149,0.301,0.243,0.316,0.392,0.308,96,-0.3,-1.1,-0.8,0.4
385,Brenton Doyle,COL,133,505,15,56,55,19,5.30%,32.40%,0.153,0.316,0.229,0.276,0.383,0.284,61,0.8,-23.8,10.3,0.4
386,Nick Loftin,KCR,45,181,4,19,19,3,7.30%,16.50%,0.132,0.286,0.254,0.315,0.386,0.307,90,-0.3,-2.5,0,0.4
387,Samad Taylor,KCR,31,124,2,14,12,6,10.60%,23.90%,0.128,0.317,0.247,0.334,0.375,0.313,94,0.1,-0.7,0.1,0.4
388,Randal Grichuk,,110,458,16,51,56,3,5.70%,22.60%,0.168,0.286,0.245,0.294,0.413,0.304,90,-1.3,-6.8,-5.3,0.4
389,Joey Wiemer,MIL,55,213,7,25,25,6,8.50%,27.30%,0.17,0.282,0.226,0.298,0.397,0.302,87,-0.1,-3.5,-0.3,0.3
390,Luke Raley,TBR,73,290,11,34,35,6,7.60%,31.40%,0.179,0.31,0.231,0.312,0.41,0.315,104,-0.2,1.1,-7.5,0.3
391,Aledmys D�az,OAK,53,222,5,22,23,1,5.40%,18.90%,0.138,0.276,0.241,0.291,0.379,0.29,87,-0.8,-4.4,0.3,0.3
